text,tema_busca,categoria
"desporto (português europeu) ou esporte (português brasileiro) é uma atividade física ou jogo. é toda a forma de praticar alguma atividade física, de forma metódica, com objetivos competitivos, que por meio de participação casual ou organizada, procure usar, manter ou melhorar as habilidades físicas e/ou mentais, proporcionando diversão aos participantes e, em alguns casos, entretenimento para os espectadores.
os objetivos do desporto podem ser, além da competição, também recreativos, ou de melhoria da saúde, ou ainda de melhoria de aptidão física e/ou mental.",Desporto,esporte
"cruzeiro esporte clube é uma associação poliesportiva brasileira sediada em belo horizonte, minas gerais. é considerado um dos maiores clubes de futebol do brasil e da américa do sul. fundado em 1921 com o nome de società sportiva palestra italia, foi rebatizado para seu nome atual em 1942 - em referência ao cruzeiro do sul - por imposição do governo federal à época proibiu o uso no país de quaisquer símbolos de alemanha, itália e japão, nações inimigas do brasil no contexto da segunda guerra mundial.",Cruzeiro Esporte Clube,esporte
"o esporte clube bahia é um clube esportivo brasileiro da cidade de salvador, capital da bahia. conhecido simplesmente como bahia ou pela sigla ecb, foi fundado em 1 de janeiro de 1931 por ex-jogadores do clube bahiano de tênis e a associação atlética da bahia, agremiações que tinham encerrado suas atividades futebolísticas no final da década de 1920, e que ostenta como maior destaque duas conquistas do campeonato brasileiro de futebol.
foi co-fundador do clube dos 13 em 1987, que reunia as treze agremiações mais importantes do futebol brasileiro e que representavam 95% dos torcedores brasileiros na época.",Esporte Clube Bahia,esporte
"o esporte clube sírio é um clube esportivo, recreativo e social, e foi fundado como clube de futebol em 14 de julho de 1917 na cidade são paulo. é um dos mais tradicionais clubes do país, e suas cores são vermelho e branco. seu departamento de futebol para disputas oficiais foi desativado em 1935.",Esporte Clube Sírio,esporte
"o blumenau esporte clube, popularmente conhecido como bec, é um clube de futebol sediado em blumenau, santa catarina, brasil. fundado em 1919 com o nome de brasil football club, passou posteriormente pelas denominações recreativo brasil esporte clube e palmeiras esporte clube, até adotar o nome atual em 1980.
o clube ganhou destaque nacional nas décadas de 1980 e 1990, quando disputou competições como o campeonato brasileiro série b, o campeonato brasileiro série c e a copa do brasil.",Blumenau Esporte Clube (1919),esporte
"esporte interativo foi um bloco televisivo e canal de televisão brasileiro, tendo sido criado pela empresa topsport. ficou conhecido pela aquisição de direitos de transmissão de competições de futebol europeu para a televisão aberta, ocupando faixas de programação da redetv! e da band a partir de 2004.",Esporte Interativo,esporte
"o são josé esporte clube (acrônimo: sjec) é um clube esportivo brasileiro da cidade de são josé dos campos, interior do estado de são paulo, fundado em 13 de agosto de 1933. suas cores atuais são o azul anil, o amarelo-ouro e o branco.


== história ==


=== nomes da instituição ===
esporte clube são josé - 1933 a 1975
são josé esporte clube - 1976 a 2002
esporte são josé - 2003 a 2004
são josé esporte clube - desde 2005


=== fundação e era amadora - esporte clube são josé ===

o estopim para a fundação do clube foi um desentendimento entre o esportista e diretor galiano alves, e seus companheiros de diretoria da associação esportiva são josé, antigo clube da cidade.",São José Esporte Clube,esporte
"esporte clube jacuipense é um clube brasileiro de futebol, da cidade de riachão do jacuípe, no estado da bahia. suas cores são o grená e o branco. atualmente, disputa a série d do campeonato brasileiro e a 1ª divisão do campeonato baiano.",Esporte Clube Jacuipense,esporte
"o cuiabá esporte clube, ou apenas cuiabá, é um clube de futebol brasileiro saf sediado na cidade de cuiabá. foi fundado no dia 12 de dezembro de 2001 pelo ex-jogador luís carlos tóffoli, mais conhecido como gaúcho. suas cores tradicionais são o amarelo e o verde.",Cuiabá Esporte Clube,esporte
"o araucária esporte clube é um clube brasileiro de futebol, situado na cidade de araucária, paraná, fundado em 6 de agosto de 2018. suas cores são o amarelo e o preto.
em 2019 fez sua estreia no futebol profissional, disputando a terceira divisão do campeonato paranaense de futebol.",Araucária Esporte Clube,esporte
"o goiás esporte clube, ou apenas goiás, é uma agremiação esportiva brasileira, sediada na cidade de goiânia, no estado de goiás. tem como cores o verde e o branco (alviverde) e atualmente manda seus jogos no estádio hailé pinheiro (serrinha), e eventualmente jogando nos estádios serra dourada e olímpico.
fundado em 6 de abril de 1943, o goiás disputou o campeonato brasileiro pela primeira vez em 1967 (durante a nona edição da então taça brasil).",Goiás Esporte Clube,esporte
"o ministério do esporte (me) é um ministério brasileiro criado em 1995 pelo então presidente fernando henrique cardoso.


== história ==


=== ministério da educação e cultura ===
a história institucional do esporte no brasil teve início em 1937, quando, por intermédio da lei n° 378 de 13 de janeiro de 1937, foi criada a divisão de educação física do ministério da educação e cultura (def), que teve como diretores: major joão barbosa leite, coronel caio mário de noronha miranda, professor alfredo colombo, general antônio pires de castro filho, coronel genival de freitas e coronel arthur orlando da costa ferreira.
em 1970, a divisão foi transformada em departamento de educação física e desportos, ainda veiculada ao ministério da educação e cultura, e teve como diretores: coronel eric tinoco marques e coronel osny vasconcellos.",Ministério do Esporte (Brasil),esporte
"o esporte no brasil é praticado em muitas modalidades e é organizado por confederações nacionais de esportes, sendo a principal o comitê olímpico brasileiro. os brasileiros estão fortemente envolvidos com esportes. o futebol é o mais praticado no país.",Esporte no Brasil,esporte
"globo esporte é um telejornal esportivo apresentado pela tv globo desde 14 de agosto de 1978. também possui o portal online ge, em que são publicados materiais jornalísticos diariamente, abrangendo diversos tipos de esportes e modalidades, com foco em especial ao futebol.


== história ==
estreou em 14 de agosto de 1978, no lugar do copa brasil, ampliando assim o espaço para falar das notícias de todas as modalidades esportivas, sem descuidar do futebol.",Globo Esporte,esporte
"macaé esporte futebol clube é uma agremiação esportiva da cidade de macaé, no estado do rio de janeiro, fundada a 17 de julho de 1990.


== história ==


=== 1990-1997: o início ===
o macaé foi criado com o nome de botafogo futebol clube, em 17 de julho de 1990. inicialmente como clube amador, o botafogo começou a competir no mesmo ano de sua fundação, quando disputou um torneio organizado pela associação macaense de futebol e escola.",Macaé Esporte Futebol Clube,esporte
"o uberlândia esporte clube (uberlândia esporte clube por questões de naming rights) é uma agremiação esportiva sediada em uberlândia, no triângulo mineiro de minas gerais, fundada em 1 de novembro de 1922. as cores tradicionais do clube são o verde e branco.
é um dos mais tradicionais times do estado de minas gerais e um dos poucos do interior mineiro que faziam frente aos grandes times da capital, cruzeiro esporte clube e clube atlético mineiro.",Uberlândia Esporte Clube,esporte
"piauí esporte clube, conhecido popularmente apenas como piauí, é um clube esportivo brasileiro, sediado em teresina, capital do piauí. 


== história ==
o clube foi fundado em 15 de agosto de 1948 com o nome de buenos aires, em homenagem ao bairro onde se originou. filiou-se à federação piauiense de futebol em 1956.",Piauí Esporte Clube,esporte
"boa esporte clube é um clube de futebol brasileiro fundado em ituiutaba, em minas gerais, em 30 de abril de 1947 como ituiutaba esporte clube, tornando-se profissional em 1998.
em 2011, a equipe se transfere para a cidade de varginha, passando a jogar sob o nome de boa esporte clube. o ""novo"" nome do clube não é uma novidade, uma vez que boa já era o apelido do ituiutaba e primeiro nome do clube, fundado em 1947 como boa vontade esporte clube sua história atual é semeada por uma recente ascensão dentro do futebol estadual.",Boa Esporte Clube,esporte
"ceilândia esporte clube é uma agremiação esportiva brasileira, sediada em ceilândia, no distrito federal. fundado em 1963 como dom bosco esporte clube, o clube se profissionalizou em 1977 e foi renomeado e refundado em 25 de agosto de 1979.


== história ==


=== 1963-1979 - dom bosco esporte clube ===
o ceilândia esporte clube foi fundado em 1963 como dom bosco esporte clube.",Ceilândia Esporte Clube,esporte
